EMPLOYER_NAME,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0
CAPGEMINI AMERICA INC,,,,,,16725.0
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,2721.0,1853.0,1704.0,2358.0,3522.0,5370.0
DELOITTE CONSULTING LLP,3621.0,4727.0,6124.0,7017.0,7607.0,7646.0
ERNST & YOUNG U.S. LLP,1354.0,2314.0,2182.0,3727.0,4144.0,4511.0
"HCL AMERICA, INC.",1699.0,2178.0,3011.0,4749.0,6110.0,4931.0
IBM CORPORATION,1822.0,1837.0,2180.0,2457.0,2409.0,2571.0
IBM INDIA PRIVATE LIMITED,1043.0,4074.0,3593.0,5029.0,10693.0,9787.0
IGATE TECHNOLOGIES INC.,90.0,540.0,2059.0,3124.0,4554.0,2197.0
INFOSYS LIMITED,195.0,15818.0,32223.0,23759.0,33245.0,25352.0
LARSEN & TOUBRO INFOTECH LIMITED,2105.0,2339.0,3136.0,3939.0,3513.0,2425.0
TATA CONSULTANCY SERVICES LIMITED,5416.0,6735.0,8790.0,14098.0,16553.0,13134.0
WIPRO LIMITED,3028.0,7182.0,6734.0,8365.0,12201.0,10607.0
