"NEW YORK, NEW YORK",191719
"HOUSTON, TEXAS",83889
"SAN FRANCISCO, CALIFORNIA",62787
"ATLANTA, GEORGIA",52193
"CHICAGO, ILLINOIS",51497
"SAN JOSE, CALIFORNIA",50083
"SUNNYVALE, CALIFORNIA",35136
"DALLAS, TEXAS",31628
"BOSTON, MASSACHUSETTS",31471
"REDMOND, WASHINGTON",30667
"CHARLOTTE, NORTH CAROLINA",30269
"MOUNTAIN VIEW, CALIFORNIA",29479
"IRVING, TEXAS",29392
"SAN DIEGO, CALIFORNIA",28881
"SANTA CLARA, CALIFORNIA",28167
"JERSEY CITY, NEW JERSEY",27022
"AUSTIN, TEXAS",26865
"SEATTLE, WASHINGTON",26859
"LOS ANGELES, CALIFORNIA",26517
"PHILADELPHIA, PENNSYLVANIA",24161
"PHOENIX, ARIZONA",21521
"BELLEVUE, WASHINGTON",21306
"PLANO, TEXAS",20742
"WASHINGTON, DISTRICT OF COLUMBIA",20369
"ALPHARETTA, GEORGIA",18288
